sys_bd_linea_pdn.descripcion,Provincia,org_ficha_organizacion.nombre,producto,cantidad_final,Departamento,valor_inicial,valor_final,cantidad_inicial,F.Registral,Distrito,timestamp,length
OVEJAS,MELGAR,GANADEROS ASOCIADOS CENTRO PAYLLA UMACHIRI,QUESO,0,PUNO,500,0,50,11105371,UMACHIRI,,
OVEJAS,MELGAR,GANADEROS ASOCIADOS CENTRO PAYLLA UMACHIRI,CARNE OVINO,532,PUNO,0,5320,0,11105371,UMACHIRI,,
PANES Y OTROS,MELGAR,ASOCIACION 5 DE AGOSTO PANIFICADORA VALLECITO,CONDESAS,60,PUNO,0,350,0,11105511,LLALLI,,
PANES Y OTROS,MELGAR,ASOCIACION 5 DE AGOSTO PANIFICADORA VALLECITO,PAN COMUN,10000,PUNO,3060,1700,18000,11105511,LLALLI,,
PANES Y OTROS,MELGAR,ASOCIACION 5 DE AGOSTO PANIFICADORA VALLECITO,PAN CARIOCA,30000,PUNO,0,7500,0,11105511,LLALLI,,
PANES Y OTROS,MELGAR,ASOCIACION 5 DE AGOSTO PANIFICADORA VALLECITO,PAN DE COCO,15000,PUNO,0,3000,0,11105511,LLALLI,,
PANES Y OTROS,MELGAR,ASOCIACION 5 DE AGOSTO PANIFICADORA VALLECITO,PAN CHUTA,2400,PUNO,100,800,300,11105511,LLALLI,,
PANES Y OTROS,MELGAR,ASOCIACION 5 DE AGOSTO PANIFICADORA VALLECITO,PAN TRES ESQUINAS,6000,PUNO,375,1000,3000,11105511,LLALLI,,
PANES Y OTROS,MELGAR,ASOCIACION 5 DE AGOSTO PANIFICADORA VALLECITO,PAN CHANCAY,1050,PUNO,0,157.5,0,11105511,LLALLI,,
PANES Y OTROS,MELGAR,ASOCIACION 5 DE AGOSTO PANIFICADORA VALLECITO,PAN DE CAÑIHUACO,210,PUNO,0,42,0,11105511,LLALLI,,
PANES Y OTROS,MELGAR,ASOCIACION 5 DE AGOSTO PANIFICADORA VALLECITO,PAN GALLETA,750,PUNO,0,125,0,11105511,LLALLI,,
